Seq,NomeOriginal,Norte,Este,Cota
1,CR6,10000.0000,5000.0000,100.000
2,CR6A,10036.3880,5000.0000,100.096
3,AUX1,9913.0150,4963.8660,100.141
4,AUX2,9972.8900,5056.4710,101.362
5,AUX3,9927.6190,4983.5250,101.897
6,AUX4,9977.5480,5009.4830,98.974
7,1,10026.0970,4999.8500,101.088
8,2,10019.6770,4995.4510,100.272
9,3,10014.4680,4995.1340,99.954
10,4,10008.3160,4996.9640,99.867
11,5,10002.6880,4999.3130,99.916
12,6,9998.8010,5001.6980,100.030
13,7,9996.5250,5003.2280,100.021
14,8,9992.8360,5005.6420,100.059
15,9,9998.3510,4998.3930,99.898
16,10,9994.8380,4994.1350,99.825
17,11,9991.6410,4990.0410,99.810
18,12,9986.5010,4983.0920,99.801
19,13,9981.1640,4976.1070,99.640
20,14,9977.7050,4969.3500,99.548
21,15,9974.8800,4966.0090,99.700
