Ponto,NomeOriginal,X,Y,Z
1,CR6,5000.0000,10000.0000,100.000
2,CR6A,5000.0000,10036.3880,100.096
3,AUX1,4963.8660,9913.0150,100.141
4,AUX2,5056.4710,9972.8900,101.362
5,AUX3,4983.5250,9927.6190,101.897
6,AUX4,5009.4830,9977.5480,98.974
7,1,4999.8500,10026.0970,101.088
8,2,4995.4510,10019.6770,100.272
9,3,4995.1340,10014.4680,99.954
10,4,4996.9640,10008.3160,99.867
11,5,4999.3130,10002.6880,99.916
12,6,5001.6980,9998.8010,100.030
13,7,5003.2280,9996.5250,100.021
14,8,5005.6420,9992.8360,100.059
15,9,4998.3930,9998.3510,99.898
16,10,4994.1350,9994.8380,99.825
17,11,4990.0410,9991.6410,99.810
18,12,4983.0920,9986.5010,99.801
19,13,4976.1070,9981.1640,99.640
20,14,4969.3500,9977.7050,99.548
21,15,4966.0090,9974.8800,99.700
